asv_id	Kingdom	Phylum	Class	Order	Family	Genus
ASV_42062	k__Archaea	p__Thermoplasmatota	c__Thermoplasmatota_cl	o__Thermoplasmatota_or	f__Thermoplasmatota_fa	g__NA
ASV_42167	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_42168	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_42208	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_42591	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_42657	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Group_1.1c	f__NA	g__NA
ASV_42667	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_43077	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Candidatus_Nitrososphaera
ASV_43102	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_43290	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_43508	k__Archaea	p__Halobacterota	c__Halobacteria	o__Halobacterales	f__Haloferacaceae	g__NA
ASV_43861	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__NA
ASV_44004	k__Archaea	p__Thermoplasmatota	c__Thermoplasmatota_cl	o__Thermoplasmatota_or	f__Thermoplasmatota_fa	g__NA
ASV_44023	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_44050	k__Archaea	p__NA	c__NA	o__NA	f__NA	g__NA
ASV_44140	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
ASV_44175	k__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrosotaleales	f__Nitrosotaleaceae	g__Candidatus_Nitrosotalea
ASV_44191	k__Archaea	p__Crenarchaeota	c__Methanomethylicia	o__Methanomethyliales	f__Methanomethyliaceae	g__Candidatus_Methanomethylicus
ASV_44312	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_44376	k__Archaea	p__Thermoplasmatota	c__NA	o__NA	f__NA	g__NA
ASV_44632	k__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__NA	f__NA	g__NA
