"ASV","in_current_60cm_table","total_reads_60cm","abundance_rank_60cm","read_share_60cm","Kingdom","Phylum","Class","Order","Family","Genus","reference_tip","distance","specialist_group.iDNA","indval.iDNA","pvalue.iDNA","freq.iDNA","specialist_group.eDNA","indval.eDNA","pvalue.eDNA","freq.eDNA","module_color.iDNA","module_number.iDNA","module_color.eDNA","module_number.eDNA"
"ASV_15128",TRUE,21,159,0.00109431995831162,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmatota_cl","o__Thermoplasmatota_or","f__Thermoplasmatota_fa","g__NA","UncE8635",0.02921,"SG",0.855243972330747,0.001,6,NA,NA,NA,NA,"green",4,"turquoise",NA
"ASV_25425",TRUE,21,162,0.00109431995831162,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","Unc04b9n",0.02371,NA,NA,NA,NA,NA,NA,NA,NA,"red",7,"green",NA
"ASV_273",TRUE,19,166,0.00099009900990099,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__NA","f__NA","g__NA","UncTha82",0.02166,NA,NA,NA,NA,NA,NA,NA,NA,"black",1,"green",NA
"ASV_1626",TRUE,19,167,0.00099009900990099,"k__Archaea","p__Crenarchaeota","c__NA","o__NA","f__NA","g__NA","UncE8450",0.06902,NA,NA,NA,NA,NA,NA,NA,NA,"black",1,"blue",NA
"ASV_7768",TRUE,19,169,0.00099009900990099,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","Unc04bn2",0.04282,NA,NA,NA,NA,NA,NA,NA,NA,"green",4,"magenta",NA
"ASV_10913",TRUE,19,172,0.00099009900990099,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc03g52",0.07926,NA,NA,NA,NA,NA,NA,NA,NA,"yellow",9,"red",NA
"ASV_12063",TRUE,19,173,0.00099009900990099,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc04bdf",0.00549,NA,NA,NA,NA,NA,NA,NA,NA,"turquoise",8,"pink",NA
"ASV_9333",TRUE,18,177,0.000937988535695675,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","UncE8635",0.02104,"SG",1,0.001,5,NA,NA,NA,NA,"brown",3,"magenta",NA
"ASV_13651",TRUE,18,180,0.000937988535695675,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmatota_cl","o__Thermoplasmatota_or","f__Thermoplasmatota_fa","g__NA","UncE8635",0.01271,NA,NA,NA,NA,NA,NA,NA,NA,"turquoise",8,"brown",NA
"ASV_785",TRUE,16,189,0.000833767587285044,"k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus_Nitrososphaera","Unc04azp",0.03464,NA,NA,NA,NA,"LC",0.823496214024851,0.004,14,"yellow",9,"black",NA
"ASV_9294",TRUE,15,196,0.000781657113079729,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc04uhr",0.06533,NA,NA,NA,NA,NA,NA,NA,NA,"turquoise",8,"yellow",NA
"ASV_10649",TRUE,15,197,0.000781657113079729,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc03g52",0.0753,NA,NA,NA,NA,"SG",0.948180626603386,0.002,8,"green",4,"brown",NA
"ASV_12159",TRUE,15,199,0.000781657113079729,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc04bn2",0.02317,NA,NA,NA,NA,NA,NA,NA,NA,"pink",6,"green",NA
"ASV_19280",TRUE,14,210,0.000729546638874414,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","UncE8635",0.09255,NA,NA,NA,NA,NA,NA,NA,NA,"green",4,"brown",NA
"ASV_10550",TRUE,11,242,0.000573215216258468,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","UncE8635",0.01271,"SG",0.957125324098818,0.001,7,NA,NA,NA,NA,"brown",3,"magenta",NA
"ASV_20614",TRUE,11,246,0.000573215216258468,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc04uhr",0.06929,NA,NA,NA,NA,NA,NA,NA,NA,"red",7,"green",NA
"ASV_2726",TRUE,9,262,0.000468994267847837,"k__Archaea","p__Crenarchaeota","c__NA","o__NA","f__NA","g__NA","UncE8450",0.04846,NA,NA,NA,NA,NA,NA,NA,NA,"blue",2,"blue",NA
"ASV_20510",TRUE,8,292,0.000416883793642522,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","UncE8635",0.10445,NA,NA,NA,NA,NA,NA,NA,NA,"green",4,"brown",NA
"ASV_8134",TRUE,7,307,0.000364773319437207,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc03g52",0.05831,NA,NA,NA,NA,NA,NA,NA,NA,"turquoise",8,"pink",NA
"ASV_11345",TRUE,6,337,0.000312662845231892,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc04uhr",0.05739,NA,NA,NA,NA,NA,NA,NA,NA,"turquoise",8,"magenta",NA
"ASV_48063",TRUE,6,353,0.000312662845231892,"k__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__NA","g__NA","UncE8524",0.09945,NA,NA,NA,NA,NA,NA,NA,NA,"red",7,NA,NA
"ASV_25834",TRUE,5,377,0.000260552371026576,"k__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__NA","f__NA","g__NA","Unc04bn0",0.02397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",NA
"ASV_18315",TRUE,2,507,0.000104220948410631,"k__Archaea","p__Thermoplasmatota","c__NA","o__NA","f__NA","g__NA","Unc04b9n",0.04985,NA,NA,NA,NA,NA,NA,NA,NA,"green",4,"magenta",NA
